罪名,手口,管轄警察署（発生地）,管轄交番・駐在所（発生地）,市区町村コード（発生地）,都道府県（発生地）,市区町村（発生地）,町丁目（発生地）,発生年月日（始期）,発生時（始期）,発生場所の属性,施錠関係,現金被害の有無
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-01-08,22,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-01-08,22,,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-02-07,22,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-02-27,18,,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-03-16,18,,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-03-29,19,,施錠せず,なし
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,堀ノ内町２丁目,2019-10-19,17,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,南,東蒔田町,141054,神奈川県,横浜市南区,蒔田町,2019-01-07,15,,施錠せず,なし
窃盗,車上ねらい,南,中村橋,141054,神奈川県,横浜市南区,睦町１丁目,2019-11-16,18,,施錠せず,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,新川町３丁目,2019-01-24,21,,施錠せず,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,西中町２丁目,2019-01-16,12,,施錠せず,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,日枝町２丁目,2019-06-29,19,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,二葉町１丁目,2019-09-17,21,,施錠せず,あり
窃盗,車上ねらい,南,吉野町,141054,神奈川県,横浜市南区,前里町３丁目,2019-08-14,22,,施錠せず,なし
窃盗,車上ねらい,南,久保山,141054,神奈川県,横浜市南区,三春台,2019-11-26,20,,施錠せず,なし
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,清水ケ丘,2019-12-12,00,,施錠せず,なし
窃盗,車上ねらい,南,南太田,141054,神奈川県,横浜市南区,南太田４丁目,2019-03-15,17,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡３丁目,2019-03-31,02,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡４丁目,2018-12-28,16,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡４丁目,2019-03-30,19,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡５丁目,2019-10-26,19,,施錠せず,なし
窃盗,車上ねらい,南,大岡町,141054,神奈川県,横浜市南区,大岡５丁目,2019-10-29,20,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,井土ケ谷中町,2019-07-04,09,,施錠せず,なし
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田東１丁目,2019-07-25,22,,施錠せず,あり
窃盗,車上ねらい,南,井土ケ谷,141054,神奈川県,横浜市南区,永田南１丁目,2019-01-21,19,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2019-10-23,20,,施錠せず,あり
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北２丁目,2019-12-28,17,,施錠せず,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田北３丁目,2019-10-16,17,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田台,2019-07-01,23,,施錠せず,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田台,2019-12-07,18,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,南,永田,141054,神奈川県,横浜市南区,永田東２丁目,2019-08-05,17,,施錠せず,なし
窃盗,車上ねらい,南,六ツ川,141054,神奈川県,横浜市南区,永田山王台,2019-01-04,12,,施錠せず,なし
窃盗,車上ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川１丁目,2018-12-30,07,,施錠せず,なし
窃盗,車上ねらい,南,六ツ川,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-10-16,19,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所３丁目,2019-01-18,18,,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所４丁目,2019-04-08,19,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2019-08-20,09,,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所５丁目,2019-12-06,17,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所７丁目,2019-02-11,14,,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所７丁目,2019-09-11,17,,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2018-12-30,22,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,別所町,141054,神奈川県,横浜市南区,別所中里台,2019-12-21,13,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,永田みなみ台,2019-11-01,18,,施錠せず,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-01-02,17,,施錠せず,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川２丁目,2019-01-04,17,,施錠せず,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2019-07-02,20,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2019-08-21,17,,施錠せず,なし
窃盗,車上ねらい,南,大池,141054,神奈川県,横浜市南区,六ツ川３丁目,2019-10-15,14,,施錠せず,なし
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,大橋町２丁目,2019-01-30,23,,施錠せず,なし
窃盗,車上ねらい,南,通町,141054,神奈川県,横浜市南区,中島町４丁目,2019-01-30,18,,施錠せず,なし
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,白妙町２丁目,2019-02-04,06,,施錠せず,なし
窃盗,車上ねらい,南,浦舟町,141054,神奈川県,横浜市南区,真金町１丁目,2018-12-29,18,,施錠せず,なし
窃盗,車上ねらい,大和,大和駅前,142131,神奈川県,大和市,中央５丁目,2019-01-27,09,,施錠せず,なし
窃盗,車上ねらい,大和,大和駅前,142131,神奈川県,大和市,深見,2019-04-10,16,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,大和,大和駅前,142131,神奈川県,大和市,大和南２丁目,2019-08-20,18,,施錠せず,なし
窃盗,車上ねらい,大和,大和駅前,142131,神奈川県,大和市,大和南２丁目,2019-09-04,17,その他,施錠せず,なし
窃盗,車上ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳,2019-01-09,15,,施錠せず,あり
窃盗,車上ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳,2019-03-11,21,,施錠せず,あり
窃盗,車上ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳６丁目,2019-05-07,19,,施錠せず,なし
窃盗,車上ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳６丁目,2019-09-22,02,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,上草柳９丁目,2019-06-13,19,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,桜森１丁目,2019-01-29,21,,施錠せず,なし
窃盗,車上ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,桜森２丁目,2019-01-29,18,,施錠せず,なし
窃盗,車上ねらい,大和,相模大塚駅前,142131,神奈川県,大和市,桜森３丁目,2019-06-10,20,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間２丁目,2019-02-19,18,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間４丁目,2019-02-19,20,,施錠せず,なし
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,西鶴間７丁目,2019-02-19,21,,施錠せず,なし
窃盗,車上ねらい,大和,鶴間駅前,142131,神奈川県,大和市,深見東３丁目,2019-09-11,15,,施錠せず,なし
窃盗,車上ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2019-03-10,03,その他,施錠せず,なし
窃盗,車上ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,下鶴間,2019-05-30,18,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,大和,つきみ野駅前,142131,神奈川県,大和市,つきみ野２丁目,2019-08-16,23,,施錠せず,なし
窃盗,車上ねらい,大和,中央林間,142131,神奈川県,大和市,,2019-04-22,23,,施錠せず,なし
窃盗,車上ねらい,大和,中央林間,142131,神奈川県,大和市,中央林間西１丁目,2019-04-02,19,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2018-12-28,18,,施錠せず,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2019-01-29,21,,施錠せず,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2019-02-01,12,,施錠せず,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2019-02-01,20,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,上和田,2019-02-16,19,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田,2019-01-31,16,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田,2019-07-03,15,駐車（輪）場,施錠せず,あり
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田３丁目,2019-02-01,11,,施錠せず,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,福田４丁目,2019-02-02,19,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,大和,桜ヶ丘,142131,神奈川県,大和市,柳橋５丁目,2019-02-01,15,,施錠せず,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,上和田,2019-01-31,15,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,上和田,2019-01-31,19,,施錠せず,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,下和田,2019-02-01,18,,施錠せず,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,下和田,2019-02-02,19,,施錠せず,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,福田,2019-01-25,21,,施錠せず,あり
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,福田,2019-09-23,21,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,,2019-02-02,19,,施錠せず,なし
窃盗,車上ねらい,大和,福田,142131,神奈川県,大和市,渋谷２丁目,2019-02-02,19,,施錠せず,なし
窃盗,車上ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚北３丁目,2019-01-26,18,,施錠せず,なし
窃盗,車上ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚南４丁目,2019-06-09,23,,施錠せず,なし
窃盗,車上ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚中３丁目,2019-01-22,18,,施錠せず,なし
窃盗,車上ねらい,大和,上土棚,142182,神奈川県,綾瀬市,上土棚中４丁目,2019-01-22,19,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,大和,寺尾,142182,神奈川県,綾瀬市,小園,2019-01-12,22,,施錠せず,あり
窃盗,車上ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾釜田１丁目,2019-05-02,20,その他,施錠せず,なし
窃盗,車上ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾中１丁目,2019-12-25,18,,施錠せず,あり
窃盗,車上ねらい,大和,寺尾,142182,神奈川県,綾瀬市,寺尾台１丁目,2019-01-12,16,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,大和,深谷,142182,神奈川県,綾瀬市,落合北５丁目,2019-04-21,01,,施錠せず,あり
窃盗,車上ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中４丁目,2019-01-26,12,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷中８丁目,2019-01-24,00,その他,施錠せず,なし
窃盗,車上ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷上６丁目,2019-04-20,20,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,大和,深谷,142182,神奈川県,綾瀬市,深谷上６丁目,2019-04-21,00,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2019-01-28,19,,施錠せず,なし
窃盗,車上ねらい,大和,下鶴間,142131,神奈川県,大和市,下鶴間,2019-07-25,19,,施錠せず,なし
窃盗,車上ねらい,大和,綾瀬地区,142182,神奈川県,綾瀬市,早川,2019-01-21,07,,施錠せず,なし
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,白百合１丁目,2019-05-07,20,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,白百合２丁目,2019-05-19,21,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田町,2019-06-18,15,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田東１丁目,2019-05-04,22,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田東１丁目,2019-05-17,07,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田東１丁目,2019-06-08,01,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田東３丁目,2019-07-07,14,,施錠せず,あり
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田北３丁目,2019-03-13,18,,施錠せず,なし
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田北３丁目,2019-08-19,19,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,泉,中田,141160,神奈川県,横浜市泉区,中田南４丁目,2019-03-30,09,,施錠せず,なし
窃盗,車上ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉町,2019-01-26,23,,施錠せず,なし
窃盗,車上ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央南３丁目,2019-01-17,19,,施錠せず,なし
窃盗,車上ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北２丁目,2019-01-17,18,,施錠せず,なし
窃盗,車上ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北４丁目,2019-03-11,20,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,泉,和泉,141160,神奈川県,横浜市泉区,和泉中央北６丁目,2019-09-13,17,,施錠せず,なし
窃盗,車上ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,和泉町,2019-01-27,10,その他,施錠せず,あり
窃盗,車上ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下飯田町,2019-06-12,09,,施錠せず,なし
窃盗,車上ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉１丁目,2019-03-31,23,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉１丁目,2019-08-07,20,,施錠せず,なし
窃盗,車上ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉１丁目,2019-08-07,21,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉２丁目,2019-03-16,19,,施錠せず,なし
窃盗,車上ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉２丁目,2019-03-17,01,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,泉,下和泉,141160,神奈川県,横浜市泉区,下和泉３丁目,2019-05-27,21,,施錠せず,なし
窃盗,車上ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,池の谷,2019-03-21,20,,施錠せず,なし
窃盗,車上ねらい,泉,緑園都市駅前,141160,神奈川県,横浜市泉区,緑園３丁目,2019-06-18,00,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-05-28,23,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-06-07,20,その他,施錠せず,なし
窃盗,車上ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-06-22,20,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,泉,上飯田,141160,神奈川県,横浜市泉区,上飯田町,2019-07-06,09,,施錠せず,なし
窃盗,車上ねらい,泉,いずみ野駅前,141160,神奈川県,横浜市泉区,上飯田町,2019-01-07,19,一戸建住宅,施錠せず,あり
窃盗,車上ねらい,泉,いちょう団地,141160,神奈川県,横浜市泉区,上飯田町,2019-02-08,23,,施錠せず,あり
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2019-03-17,21,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2019-03-19,16,,施錠せず,なし
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2019-03-23,18,,施錠せず,なし
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2019-08-30,18,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,岡津町,2019-12-26,19,,施錠せず,あり
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,新橋町,2019-08-06,18,その他の住宅（３階建て以下共同住宅等）,施錠せず,なし
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,新橋町,2019-11-15,19,,施錠せず,なし
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,弥生台,2019-06-18,19,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,領家１丁目,2019-03-22,20,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,領家３丁目,2019-06-01,22,４階建て以上共同住宅,施錠せず,あり
窃盗,車上ねらい,泉,弥生台駅前,141160,神奈川県,横浜市泉区,領家３丁目,2019-12-26,16,,施錠せず,あり
窃盗,車上ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2019-07-31,23,,施錠せず,なし
窃盗,車上ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2019-08-14,17,,施錠せず,なし
窃盗,車上ねらい,戸塚,戸塚駅西口,141101,神奈川県,横浜市戸塚区,戸塚町,2019-11-08,21,,施錠せず,なし
窃盗,車上ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,鳥が丘,2019-06-06,20,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,矢部町,2019-08-10,18,４階建て以上共同住宅,施錠せず,なし
窃盗,車上ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢３丁目,2019-06-12,18,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,戸塚,踊場,141101,神奈川県,横浜市戸塚区,汲沢７丁目,2019-06-03,19,,施錠せず,なし
窃盗,車上ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,上矢部町,2019-12-14,19,,施錠せず,なし
窃盗,車上ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,舞岡町,2019-02-09,17,,施錠せず,なし
窃盗,車上ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,舞岡町,2019-04-18,20,,施錠せず,なし
窃盗,車上ねらい,戸塚,不動坂,141101,神奈川県,横浜市戸塚区,吉田町,2019-02-09,00,,施錠せず,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,影取町,2019-07-10,00,,施錠せず,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,小雀町,2019-06-18,00,,施錠せず,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,戸塚町,2019-11-08,19,,施錠せず,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,深谷町,2019-01-15,19,,施錠せず,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,深谷町,2019-02-20,23,その他の住宅（３階建て以下共同住宅等）,施錠せず,あり
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,深谷町,2019-04-18,22,,施錠せず,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,俣野町,2019-03-31,15,一戸建住宅,施錠せず,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿１丁目,2019-11-22,19,,施錠せず,なし
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿２丁目,2019-01-12,12,,施錠せず,あり
窃盗,車上ねらい,戸塚,原宿,141101,神奈川県,横浜市戸塚区,原宿３丁目,2019-01-15,19,,施錠せず,なし
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,秋葉町,2019-08-14,19,駐車（輪）場,施錠せず,なし
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,秋葉町,2019-10-23,19,,施錠せず,なし
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,上柏尾町,2019-02-22,21,,施錠せず,なし
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,上柏尾町,2019-02-22,21,,施錠せず,あり
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,上柏尾町,2019-07-30,21,,施錠せず,なし
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,名瀬町,2019-02-22,14,,施錠せず,なし
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,名瀬町,2019-07-05,02,,施錠せず,あり
窃盗,車上ねらい,戸塚,柏尾,141101,神奈川県,横浜市戸塚区,名瀬町,2019-08-03,04,,施錠せず,あり
